Brand,Series,Model,Price
Renault,R 19,1.4 RN,200000
Renault,Clio,1.4 RN,220000
Toyota,Corolla,1.3 XE,265000
Volkswagen,Polo,1.6 Classic,285000
Rover,820,Ti,275000
Ford,Mondeo,2.0 Ghia,235000
Volkswagen,Polo,1.6,185000
Tofaş,Şahin,1.6,230000
Audi,A3,A3 Sportback 1.8 T Attraction,290000
Volkswagen,Polo,1.6,250000
Renault,R 19,1.4 1.4i,189000
Volkswagen,Polo,1.6 Classic,255000
Fiat,Uno,70 S,165000
Fiat,Uno,70 S,205000
Fiat,Bravo,1.6 SX,250000
Opel,Vectra,2.0 CD,375000
Opel,Corsa,1.4 Swing,265000
Renault,R 19,1.6 Europa RT,245000
Opel,Corsa,1.4 Swing,280000
Tofaş,Doğan,SLX,245000
Volkswagen,Polo,1.6,275000
Renault,R 19,1.4 1.4i,210000
Hyundai,Accent,1.5 GLS,330000
Opel,Astra,1.6 GL,230000
Opel,Corsa,1.4 Swing,220000
Opel,Astra,1.6 GLS,250000
Opel,Vectra,1.6 GL,300000
Opel,Vectra,1.6,275000
Peugeot,106,GTI,278000
Renault,R 19,1.4 RN,219000
Ford,Escort,1.6 CL,260000
Opel,Vectra,2.0 GLS,240000
Volkswagen,Polo,1.6,300000
Tofaş,Doğan,SLX,195000
Ford,Mondeo,2.0 Ghia,260000
Renault,R 19,1.4 Europa RN,219000
Renault,R 9,1.4 Broadway RNi,250000
Tofaş,Şahin,1.6,160000
Opel,Astra,1.6 GLS,320000
Ford,Escort,1.6 CL,222000
Volkswagen,Passat,2.0 GL,250000
Volkswagen,Polo,1.6 Classic,190000
Renault,R 9,1.4 Broadway RN,240000
Opel,Vectra,1.6 GL,300000
Renault,R 19,1.4 Beymen Club,248000
Renault,R 19,1.6 Europa RT,225000
Ford,Mondeo,2.0 GLX,160000
Opel,Corsa,1.4 Swing,330000
Peugeot,306,1.6 Diamond,220000
Ford,Mondeo,2.0 Ghia,260000
Peugeot,106,XR,220000
Volkswagen,Polo,1.6,265000
Ford,Escort,1.6 CLX,265000
Renault,R 9,1.4 Broadway RNi,240000
Volkswagen,Polo,1.6,420000
Renault,R 19,1.4 Europa RT,250000
Opel,Astra,1.6 GLS,273500
Volkswagen,Polo,1.6 Classic,235000
Ford,Mondeo,2.0 GLX,250000
Ford,Escort,1.6 CL,185000
Daewoo,Tico,0.8 SX,100000
Ford,Escort,1.6 CL,165000
Opel,Astra,1.6 GL,238000
Fiat,Tipo,1.6 SLX,220000
Opel,Astra,1.6 GL,305000
Fiat,Tipo,1.4 S,220000
Fiat,Tipo,1.6 SLX,270000
Renault,Clio,1.4 RT,178000
Opel,Astra,1.6 GL,298000
Fiat,Tempra,1.6 SX SW,220000
Volkswagen,Polo,1.6,330000
Opel,Astra,1.6 GLS,338000
Citroen,Saxo,1.4 SX,170000
Honda,Civic,1.6 i ES,280000
Toyota,Corolla,1.6 XEi,350000
Fiat,Tipo,1.4 S,210000
Renault,R 9,1.4 Broadway RL,250000
Toyota,Corolla,1.6 GLi,350000
Opel,Astra,1.6 GLS,280000
Renault,Laguna,2.0 RXE,305000
Renault,R 19,1.4 Europa RL,270000
